date,home_team,score,away_team
01-10-2023,Roma,2 - 0,Frosinone
08-10-2023,Cagliari,1 - 4,Roma
22-10-2023,Roma,1 - 0,Monza
29-10-2023,Inter,1 - 0,Roma
05-11-2023,Roma,2 - 1,Lecce
12-11-2023,Lazio,0 - 0,Roma
26-11-2023,Roma,3 - 1,Udinese
03-12-2023,Sassuolo,1 - 2,Roma
10-12-2023,Roma,1 - 1,Fiorentina
17-12-2023,Bologna,2 - 0,Roma
23-12-2023,Roma,2 - 0,Napoli
30-12-2023,Juventus,? - ?,Roma
20-08-2023,Roma,2 - 2,Salernitana
28-08-2023,Salernitana,1 - 1,Udinese
03-09-2023,Lecce,2 - 0,Salernitana
18-09-2023,Salernitana,0 - 3,Torino
22-09-2023,Salernitana,1 - 1,Frosinone
27-09-2023,Empoli,1 - 0,Salernitana
30-09-2023,Salernitana,0 - 4,Inter
08-10-2023,Monza,3 - 0,Salernitana
22-10-2023,Salernitana,2 - 2,Cagliari
27-10-2023,Genoa,1 - 0,Salernitana
04-11-2023,Salernitana,0 - 2,Napoli
10-11-2023,Sassuolo,2 - 2,Salernitana
25-11-2023,Salernitana,2 - 1,Lazio
03-12-2023,Fiorentina,3 - 0,Salernitana
10-12-2023,Salernitana,1 - 2,Bologna
18-12-2023,Atalanta,4 - 1,Salernitana
22-12-2023,Salernitana,2 - 2,Milan
30-12-2023,Verona,? - ?,Salernitana
20-08-2023,Sassuolo,0 - 2,Atalanta
27-08-2023,Napoli,2 - 0,Sassuolo
01-09-2023,Sassuolo,3 - 1,Verona
17-09-2023,Frosinone,4 - 2,Sassuolo
23-09-2023,Sassuolo,4 - 2,Juventus
27-09-2023,Inter,1 - 2,Sassuolo
02-10-2023,Sassuolo,0 - 1,Monza
06-10-2023,Lecce,1 - 1,Sassuolo
21-10-2023,Sassuolo,0 - 2,Lazio
28-10-2023,Sassuolo,1 - 1,Bologna
06-11-2023,Torino,2 - 1,Sassuolo
10-11-2023,Sassuolo,2 - 2,Salernitana
26-11-2023,Empoli,3 - 4,Sassuolo
03-12-2023,Sassuolo,1 - 2,Roma
11-12-2023,Cagliari,2 - 1,Sassuolo
17-12-2023,Udinese,2 - 2,Sassuolo
22-12-2023,Sassuolo,1 - 2,Genoa
30-12-2023,Milan,? - ?,Sassuolo
21-08-2023,Torino,0 - 0,Cagliari
26-08-2023,Milan,4 - 1,Torino
03-09-2023,Torino,1 - 0,Genoa
18-09-2023,Salernitana,0 - 3,Torino
24-09-2023,Torino,1 - 1,Roma
